Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS Patrimonio,Chrome 109.0.0.0,,,2023-01-31 09:24:18,2023-01-31 09:26:24,2m - 6.727s,FAILED
,,,,,,,
Test Cases/TC_Patrimonio/FO_Login,Chrome 109.0.0.0,,,2023-01-31 09:24:18,2023-01-31 09:24:58,39.851s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-01-31 09:24:18,2023-01-31 09:24:21,2.425s,PASSED
"navigateToUrl(""http://10.129.105.196:7003/frontoffice/login"")",Chrome 109.0.0.0,,,2023-01-31 09:24:21,2023-01-31 09:24:25,3.814s,PASSED
"setText(findTestObject(""Object Repository/OR_Patrimonio/FO_Login/input_Username_j_username""), ""Patrimonio3RF"")",Chrome 109.0.0.0,,,2023-01-31 09:24:25,2023-01-31 09:24:25,0.846s,PASSED
"setEncryptedText(findTestObject(""Object Repository/OR_Patrimonio/FO_Login/input_Password_j_password""), ""9NyHeMJyhFc="")",Chrome 109.0.0.0,,,2023-01-31 09:24:25,2023-01-31 09:24:26,0.457s,PASSED
"click(findTestObject(""Object Repository/OR_Patrimonio/FO_Login/input_Password_j_id_t""))",Chrome 109.0.0.0,,,2023-01-31 09:24:26,2023-01-31 09:24:57,31.367s,PASSED
"click(findTestObject(""Object Repository/OR_Patrimonio/FO_Login/a_Patrimnio""))",Chrome 109.0.0.0,,,2023-01-31 09:24:57,2023-01-31 09:24:58,0.578s,PASSED
,,,,,,,
Test Cases/TC_Patrimonio/Predio Rustico/Menu,Chrome 109.0.0.0,,,2023-01-31 09:24:58,2023-01-31 09:25:06,7.891s,PASSED
"click(findTestObject(""Object Repository/OR_Patrimonio/Predio Rustico/Menu/a_Cadastro""))",Chrome 109.0.0.0,,,2023-01-31 09:24:58,2023-01-31 09:24:59,0.483s,PASSED
"click(findTestObject(""Object Repository/OR_Patrimonio/Predio Rustico/Menu/a_Prdio""))",Chrome 109.0.0.0,,,2023-01-31 09:24:59,2023-01-31 09:24:59,0.485s,PASSED
"click(findTestObject(""Object Repository/OR_Patrimonio/Predio Rustico/Menu/a_Rstico""))",Chrome 109.0.0.0,,,2023-01-31 09:24:59,2023-01-31 09:25:06,6.499s,PASSED
,,,,,,,
Test Cases/TC_Patrimonio/Predio Rustico/A_Seccao Principal,Chrome 109.0.0.0,,,2023-01-31 09:26:23,2023-01-31 09:26:23,0.135s,FAILED
"click(findTestObject(""Object Repository/OR_Patrimonio/Predio Rustico/A_Seccao Principal/div_GERAL""))",Chrome 109.0.0.0,,,2023-01-31 09:26:23,2023-01-31 09:26:23,0.127s,FAILED
,,,,,,,
Test Cases/TC_Patrimonio/Predio Rustico/B_Localicacao e Confrontacoes,Chrome 109.0.0.0,,,2023-01-31 09:26:24,2023-01-31 09:26:24,0.185s,FAILED
"click(findTestObject(""Object Repository/OR_Patrimonio/Predio Rustico/B_Localizacao e Confrontacoes/a_Localizao e Confrontaes""))",Chrome 109.0.0.0,,,2023-01-31 09:26:24,2023-01-31 09:26:24,0.178s,FAILED
