Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Incredible Connection,Chrome 110.0.0.0,,,2023-02-08 22:12:54,2023-02-08 22:28:42,15m - 48.773s,FAILED
,,,,,,,
Test Cases/Incredible Connection/Brands,Chrome 110.0.0.0,,,2023-02-08 22:12:54,2023-02-08 22:13:41,47.165s,PASSED
"callTestCase(findTestCase(""Incredible Connection/Landing Page""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-08 22:12:55,2023-02-08 22:13:22,26.865s,PASSED
maximizeWindow(),Chrome 110.0.0.0,,,2023-02-08 22:13:22,2023-02-08 22:13:23,0.939s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Brands/span_Brands""))",Chrome 110.0.0.0,,,2023-02-08 22:13:23,2023-02-08 22:13:29,6.388s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Brands/img""))",Chrome 110.0.0.0,,,2023-02-08 22:13:29,2023-02-08 22:13:35,5.691s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Brands/img_Microsoft Brand Page_lazyload""))",Chrome 110.0.0.0,,,2023-02-08 22:13:35,2023-02-08 22:13:39,3.847s,PASSED
"takeScreenshotAsCheckpoint(""brands"")",Chrome 110.0.0.0,,,2023-02-08 22:13:39,2023-02-08 22:13:41,2.687s,PASSED
,,,,,,,
Test Cases/Incredible Connection/Create Account,Chrome 110.0.0.0,,,2023-02-08 22:13:41,2023-02-08 22:14:19,37.948s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-02-08 22:13:42,2023-02-08 22:13:48,6.093s,PASSED
"navigateToUrl(""https://www.incredible.co.za/"")",Chrome 110.0.0.0,,,2023-02-08 22:13:48,2023-02-08 22:14:02,14.022s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/div_My Account""))",Chrome 110.0.0.0,,,2023-02-08 22:14:02,2023-02-08 22:14:04,1.943s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/a_Create an Account""))",Chrome 110.0.0.0,,,2023-02-08 22:14:04,2023-02-08 22:14:11,7.063s,PASSED
"setText(findTestObject(""Object Repository/OR_Incredible Connection/input_First Name_firstname""), ""Tester"")",Chrome 110.0.0.0,,,2023-02-08 22:14:11,2023-02-08 22:14:12,1.195s,PASSED
"setText(findTestObject(""Object Repository/OR_Incredible Connection/input_Last Name_lastname""), ""Testing"")",Chrome 110.0.0.0,,,2023-02-08 22:14:12,2023-02-08 22:14:14,1.641s,PASSED
"setText(findTestObject(""Object Repository/OR_Incredible Connection/input_Cellphone Number_cellphone_number""), ""0784492053"")",Chrome 110.0.0.0,,,2023-02-08 22:14:14,2023-02-08 22:14:15,0.943s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/label_Passport""))",Chrome 110.0.0.0,,,2023-02-08 22:14:15,2023-02-08 22:14:16,0.632s,PASSED
"setText(findTestObject(""Object Repository/OR_Incredible Connection/input_Email Address_email""), ""deolindo9@gmail.com"")",Chrome 110.0.0.0,,,2023-02-08 22:14:16,2023-02-08 22:14:17,1.032s,PASSED
"setEncryptedText(findTestObject(""Object Repository/OR_Incredible Connection/input_Password_password""), ""9KuFGzalzWgOpbp98rkftg=="")",Chrome 110.0.0.0,,,2023-02-08 22:14:17,2023-02-08 22:14:18,0.894s,PASSED
"setEncryptedText(findTestObject(""Object Repository/OR_Incredible Connection/input_Confirm Password_password_confirmation""), ""9KuFGzalzWgOpbp98rkftg=="")",Chrome 110.0.0.0,,,2023-02-08 22:14:18,2023-02-08 22:14:18,0.616s,PASSED
"takeScreenshotAsCheckpoint(""create_account"")",Chrome 110.0.0.0,,,2023-02-08 22:14:18,2023-02-08 22:14:19,1.103s,PASSED
,,,,,,,
Test Cases/Incredible Connection/Forgot Password,Chrome 110.0.0.0,,,2023-02-08 22:14:19,2023-02-08 22:14:55,35.666s,PASSED
"callTestCase(findTestCase(""Incredible Connection/Landing Page""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-08 22:14:20,2023-02-08 22:14:37,16.953s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Forgot Password/div_My Account""))",Chrome 110.0.0.0,,,2023-02-08 22:14:37,2023-02-08 22:14:38,0.809s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Forgot Password/a_Sign In""))",Chrome 110.0.0.0,,,2023-02-08 22:14:38,2023-02-08 22:14:44,6.509s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Forgot Password/span_Forgot Your Password""))",Chrome 110.0.0.0,,,2023-02-08 22:14:44,2023-02-08 22:14:47,2.460s,PASSED
"setText(findTestObject(""Object Repository/OR_Incredible Connection/Forgot Password/input_Email Address_email""), ""deolindo9@gmail.com"")",Chrome 110.0.0.0,,,2023-02-08 22:14:47,2023-02-08 22:14:48,1.358s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Forgot Password/button_Submit""))",Chrome 110.0.0.0,,,2023-02-08 22:14:48,2023-02-08 22:14:51,2.593s,PASSED
"takeScreenshotAsCheckpoint(""forgot_password"")",Chrome 110.0.0.0,,,2023-02-08 22:14:51,2023-02-08 22:14:55,4.353s,PASSED
,,,,,,,
Test Cases/Incredible Connection/Gaming,Chrome 110.0.0.0,,,2023-02-08 22:14:55,2023-02-08 22:15:56,1m - 0.583s,FAILED
"callTestCase(findTestCase(""Incredible Connection/Landing Page""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-08 22:14:56,2023-02-08 22:15:18,21.961s,PASSED
maximizeWindow(),Chrome 110.0.0.0,,,2023-02-08 22:15:18,2023-02-08 22:15:18,0.815s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Games/a_PlayStation""))",Chrome 110.0.0.0,,,2023-02-08 22:15:18,2023-02-08 22:15:55,37.025s,FAILED
,,,,,,,
Test Cases/Incredible Connection/Help,Chrome 110.0.0.0,,,2023-02-08 22:15:56,2023-02-08 22:16:32,36.047s,PASSED
"callTestCase(findTestCase(""Incredible Connection/Landing Page""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-08 22:15:56,2023-02-08 22:16:14,17.822s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Help/a_Help""))",Chrome 110.0.0.0,,,2023-02-08 22:16:14,2023-02-08 22:16:17,3.163s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Help/a_My Incredible online account""))",Chrome 110.0.0.0,,,2023-02-08 22:16:17,2023-02-08 22:16:21,3.437s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Help/a_Click  Collect""))",Chrome 110.0.0.0,,,2023-02-08 22:16:21,2023-02-08 22:16:24,3.118s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Help/a_Trade-in your Device""))",Chrome 110.0.0.0,,,2023-02-08 22:16:24,2023-02-08 22:16:26,2.674s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Help/a_Returns and Refunds""))",Chrome 110.0.0.0,,,2023-02-08 22:16:26,2023-02-08 22:16:30,3.582s,PASSED
"verifyElementText(findTestObject(""Object Repository/OR_Incredible Connection/Help/strong_Not satisfied with your Online Purchase""), ""Not satisfied with your Online Purchase?"")",Chrome 110.0.0.0,,,2023-02-08 22:16:30,2023-02-08 22:16:30,0.443s,PASSED
"takeScreenshotAsCheckpoint(""help"")",Chrome 110.0.0.0,,,2023-02-08 22:16:30,2023-02-08 22:16:32,1.327s,PASSED
,,,,,,,
Test Cases/Incredible Connection/Landing Page,Chrome 110.0.0.0,,,2023-02-08 22:16:32,2023-02-08 22:16:48,16.802s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-02-08 22:16:32,2023-02-08 22:16:36,4.270s,PASSED
"navigateToUrl(""https://www.incredible.co.za/"")",Chrome 110.0.0.0,,,2023-02-08 22:16:36,2023-02-08 22:16:47,10.959s,PASSED
"takeScreenshotAsCheckpoint(""landing_page"")",Chrome 110.0.0.0,,,2023-02-08 22:16:47,2023-02-08 22:16:48,1.556s,PASSED
,,,,,,,
Test Cases/Incredible Connection/Payment,Chrome 110.0.0.0,,,2023-02-08 22:16:48,2023-02-08 22:17:44,55.427s,FAILED
"callTestCase(findTestCase(""Incredible Connection/Landing Page""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-08 22:16:49,2023-02-08 22:17:06,17.502s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Payment/a_Payment""))",Chrome 110.0.0.0,,,2023-02-08 22:17:06,2023-02-08 22:17:10,3.480s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Payment/img_Affordable Payment Options_pagebuilder-_f36f34""))",Chrome 110.0.0.0,,,2023-02-08 22:17:10,2023-02-08 22:17:44,33.901s,FAILED
,,,,,,,
Test Cases/Incredible Connection/Privacy Policy,Chrome 110.0.0.0,,,2023-02-08 22:17:44,2023-02-08 22:18:36,52.441s,FAILED
"callTestCase(findTestCase(""Incredible Connection/Landing Page""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-08 22:17:44,2023-02-08 22:18:01,16.617s,PASSED
